id,question,artist,song
188,https://www.youtube.com/watch?v=o3mP3mJDL2k,Shakira ft. Rihanna,Can't Remember to Forget You
189,https://www.youtube.com/watch?v=pRpeEdMmmQ0&t=18,Shakira,Waka Waka
190,https://www.youtube.com/watch?v=weRHyjj34ZE,Shakira,Whenever & Wherever
194,https://www.youtube.com/watch?v=booKP974B0k&t=20,Shakira,She Wolf
195,https://www.youtube.com/watch?v=8AHCfZTRGiI,Johnny Cash,Hurt
196,https://www.youtube.com/watch?v=1Osyw6Svv8U,Johnny Cash,Ring Of Fire
197,https://www.youtube.com/watch?v=AeZRYhLDLeU,Johnny Cash,Folsom Prison Blues
198,https://www.youtube.com/watch?v=eJlN9jdQFSc&t=12,Johnny Cash,God's Gonna Cut You Down
200,https://www.youtube.com/watch?v=jh169rVMveA,Johnny Cash,I Walk the Line
209,https://www.youtube.com/watch?v=mZtKo3thUGw,Myles Smith,Stargazing
210,https://www.youtube.com/watch?v=Bpaf6Dm9iRc,Tate McRae,It's ok I'm ok
211,https://www.youtube.com/watch?v=rwlFWWGaZ5Y,Tate McRae,Revolving door
212,https://www.youtube.com/watch?v=dpvQqmX6SUI,Tate McRae,Just Keep Watching
213,https://www.youtube.com/watch?v=7InTkBxPtK4,Tate McRae,Sports car
214,https://www.youtube.com/watch?v=YXt0Nw8xWh0,Tate McRae,exes
215,https://www.youtube.com/watch?v=cr4wnsLI_Xw,Tate McRae,2 hands
